1015;2015;3015;4015;5015;Tacos de Pescado;250;6500;10
1011;2011;3011;4011;5011;Sándwich de Pastrami;450;5500;5
1010;2010;3010;4010;5010;Flan de Caramelo;180;3500;7
1013;2013;3013;4013;5013;Paella Española;400;8500;80
1003;2023;3023;4023;5023;Tarta de Chocolate;400;4500;20
1020;2020;3020;4020;5020;Risotto de Champiñones;300;7200;30
1012;2012;3012;4012;5012;Pulpo a la Gallego;250;6800;19
1002;2002;3002;4002;5002;Pizza Margarita;280;4000;6
1002;2022;3022;4022;5022;Salmón a la Parrilla;350;8000;10
1001;2021;3021;4021;5021;Gnocchi con Pesto;320;6100;16
1004;2004;3004;4004;5004;Ensalada de Espinacas;150;5000;12
1005;2005;3005;4005;5005;Filete de Res;450;9500;19
1004;2024;3024;4024;5024;Coles de Bruselas;120;4000;45
1014;2014;3014;4014;5014;Ceviche de Camarones;200;7200;70
1008;2008;3008;4008;5008;Costillas a la Barbacoa;500;7800;50
1003;2003;3003;4003;5003;Tacos de Carnitas;350;6000;10
1019;2019;3019;4019;5019;Cordero Asado;380;8000;15
1005;2025;3025;4025;5025;Sushi;350;6000;20
1009;2009;3009;4009;5009;Ensalada Caprese;180;5700;10
1017;2017;3017;4017;5017;Helado de Vainilla;150;2000;14
1018;2018;3018;4018;5018;Pollo al Curry;400;7000;4
1006;2006;3006;4006;5006;Sopa de Calabaza;200;4500;3
1016;2016;3016;4016;5016;Tofu Teriyaki;220;5700;13
1001;2001;3001;4001;5001;Pudín de Pan;250;2800;16
1007;2007;3007;4007;5007;Tarta de Queso;350;3500;20
1005;2025;3025;4025;5025;REPETIDO;350;6000;30
1002;2002;3002;4002;5002;REPETIDO;280;4000;28
1008;2008;3008;4008;5008;REPETIDO;500;7800;17
